gene_locus	gene_id	chr	start	stop	n_snps	n_pcs	phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p
RARRES2	ENSG00000106538	7	149935408	150138763	398	68	PD_nalls2019	pqtls_RARRES2	0.0419111	-0.07569	0.15785	0.00175654	0	0.02507	0.481243
AOC1	ENSG00000002726	7	150421715	150658592	726	118	PD_nalls2019	pqtls_AOC1	-0.0592022	-0.20029	0.08631	0.0035049	0	0.04027	0.416036
SHH	ENSG00000164690	7	155492680	155704967	601	134	PD_nalls2019	pqtls_SHH	0.234645	0.06575	0.40177	0.0550581	0.00434	0.16142	0.00668816
MYOM2	ENSG00000036448	8	1893155	2213475	1428	235	PD_nalls2019	pqtls_MYOM2	-0.112884	-0.31604	0.08305	0.0127428	0	0.09988	0.251849
ANGPT2	ENSG00000091879	8	6257172	6520930	1050	183	PD_nalls2019	pqtls_ANGPT2	0.0720346	-0.04462	0.18639	0.00518898	0	0.03474	0.221592
ANGPT2	ENSG00000091879	8	6257172	6520930	999	157	ALS_vanrheenen2021	pqtls_ANGPT2	0.100378	-0.18458	0.40267	0.0100758	0	0.16345	0.480026
DEFB1	ENSG00000164825	8	6628097	6835544	963	216	PD_nalls2019	pqtls_DEFB1	0.0597543	0.00136	0.11862	0.00357058	4e-05	0.01407	0.0502318
CTSB	ENSG00000164733	8	11600033	11826957	901	132	PD_nalls2019	pqtls_CTSB	-0.198087	-0.25247	-0.14231	0.0392386	0.02025	0.06374	1.25346e-12
PDGFRL	ENSG00000104213	8	17333942	17601580	1310	203	PD_nalls2019	pqtls_PDGFRL	0.0307088	-0.05065	0.11054	0.000943033	0	0.01222	0.452423
PDGFRL	ENSG00000104213	8	17333942	17601580	1299	199	UC_delange2017	pqtls_PDGFRL	-0.120313	-0.3161	0.07505	0.0144751	0	0.09992	0.221233
FGL1	ENSG00000104760	8	17621889	17867874	902	96	PD_nalls2019	pqtls_FGL1	0.0467261	-0.13268	0.22641	0.00218333	0	0.05214	0.60488
GFRA2	ENSG00000168546	8	21447915	21769869	617	126	CD_delange2017	pqtls_GFRA2	0.220212	-0.00979	0.47451	0.0484932	0	0.22516	0.0631319
GFRA2	ENSG00000168546	8	21447915	21769869	621	124	PD_nalls2019	pqtls_GFRA2	-0.0223778	-0.09928	0.05576	0.000500767	0	0.01003	0.570237
DOK2	ENSG00000147443	8	21666384	21871371	392	56	PD_nalls2019	pqtls_DOK2	-0.0359514	-0.24535	0.16847	0.0012925	0	0.06305	0.731921
BMP1	ENSG00000168487	8	21922249	22169839	458	112	PD_nalls2019	pqtls_BMP1	0.0820504	-0.06478	0.23431	0.00673227	0	0.05494	0.286087
TNFRSF10D	ENSG00000173530	8	22893101	23121543	567	156	PD_nalls2019	pqtls_TNFRSF10D	0.168086	-0.00194	0.34259	0.028253	0	0.11736	0.0572325
TNFRSF10D	ENSG00000173530	8	22893101	23121543	553	151	UC_delange2017	pqtls_TNFRSF10D	0.0638432	-0.28097	0.41219	0.00407596	0	0.18146	0.703365
STC1	ENSG00000159167	8	23599428	23812320	572	89	PD_nalls2019	pqtls_STC1	0.0350136	-0.18247	0.2556	0.00122595	0	0.06871	0.747637
SCARA5	ENSG00000168079	8	27627399	27950244	1051	154	AD_schwartzentruber2021	pqtls_SCARA5	-0.143747	-0.40769	0.11276	0.0206633	0	0.16658	0.264909
SCARA5	ENSG00000168079	8	27627399	27950244	1029	152	PD_nalls2019	pqtls_SCARA5	-0.192965	-0.29708	-0.08579	0.0372355	0.00736	0.08826	0.000475539
GSR	ENSG00000104687	8	30435583	30685443	458	67	PD_nalls2019	pqtls_GSR	0.116883	-0.07013	0.30181	0.0136616	0	0.09109	0.21451
FUT10	ENSG00000172728	8	33128342	33430940	715	91	PD_nalls2019	pqtls_FUT10	-0.0802575	-0.15828	-0.00102	0.00644127	7e-05	0.02505	0.0444151
UNC5D	ENSG00000156687	8	34992975	35754068	746	86	LBD_chia2021	pqtls_UNC5D	-0.438508	-0.7414	-0.183	0.192289	0.03349	0.54967	0.00133258
UNC5D	ENSG00000156687	8	34992975	35754068	762	93	PD_nalls2019	pqtls_UNC5D	0.0762177	-0.0456	0.1979	0.00580913	0	0.03916	0.211707
FGFR1	ENSG00000077782	8	38168656	38426352	384	95	PD_nalls2019	pqtls_FGFR1	0.0974455	-0.092	0.29154	0.00949563	0	0.085	0.319538
SFRP1	ENSG00000104332	8	41019481	41267016	558	117	CD_delange2017	pqtls_SFRP1	-0.244986	-0.51791	0.01112	0.0600182	0	0.26823	0.0655401
SFRP1	ENSG00000104332	8	41019481	41267016	490	111	LBD_chia2021	pqtls_SFRP1	0.1793	-0.09074	0.45654	0.0321485	0	0.20859	0.180574
SFRP1	ENSG00000104332	8	41019481	41267016	567	117	PD_nalls2019	pqtls_SFRP1	0.0679388	-0.06162	0.19951	0.00461569	0	0.03982	0.316579
PLAT	ENSG00000104368	8	41932236	42165242	351	69	PD_nalls2019	pqtls_PLAT	0.10936	-0.06606	0.28983	0.0119597	0	0.084	0.22591
LYN	ENSG00000254087	8	56692372	57023940	782	99	PD_nalls2019	pqtls_LYN	-0.0993054	-0.30106	0.10464	0.00986155	0	0.09064	0.340242
LYN	ENSG00000254087	8	56692372	57023940	782	99	ALS_vanrheenen2021	pqtls_LYN	0.107901	-0.25274	0.49747	0.0116426	0	0.24996	0.546032
PENK	ENSG00000181195	8	57249233	57459293	532	69	PD_nalls2019	pqtls_PENK	-0.102495	-0.19586	-0.00913	0.0105052	0.00018	0.03836	0.0343074
IMPAD1	ENSG00000104331	8	57770492	58006403	616	97	PD_nalls2019	pqtls_IMPAD1	0.0319585	-0.16315	0.22475	0.00102135	0	0.05365	0.740746
ASPH	ENSG00000198363	8	62313116	62727155	873	133	PD_nalls2019	pqtls_ASPH	-0.0506799	-0.15763	0.05475	0.00256846	0	0.02485	0.348507
GGH	ENSG00000137563	8	63827638	64051730	701	60	PD_nalls2019	pqtls_GGH	0.121165	-0.02423	0.2686	0.0146809	0	0.07214	0.103415
FABP4	ENSG00000170323	8	82290654	82495498	417	83	PD_nalls2019	pqtls_FABP4	-0.0937179	-0.33117	0.13774	0.00878305	0	0.10973	0.41829
IMPA1	ENSG00000133731	8	82470196	82698928	622	68	PD_nalls2019	pqtls_IMPA1	-0.0928415	-0.32032	0.14371	0.00861955	0	0.10296	0.431864
ZFAND1	ENSG00000104231	8	82513569	82745138	659	66	PD_nalls2019	pqtls_ZFAND1	-0.0418824	-0.17088	0.08673	0.00175413	0	0.02933	0.525639
CA13	ENSG00000185015	8	86032816	86296302	310	56	PD_nalls2019	pqtls_CA13	0.0451119	-0.1073	0.20153	0.00203508	0	0.04128	0.562745
CA1	ENSG00000133742	8	86139837	86391243	330	50	PD_nalls2019	pqtls_CA1	-0.123004	-0.28804	0.03925	0.0151299	0	0.08297	0.140969
CA3	ENSG00000164879	8	86185665	86461269	341	58	PD_nalls2019	pqtls_CA3	0.0651405	-0.13695	0.26671	0.00424329	0	0.07176	0.520055
RMDN1	ENSG00000176623	8	87380486	87626586	529	68	PD_nalls2019	pqtls_RMDN1	0.0917239	0.02578	0.15677	0.00841328	0.00068	0.02458	0.00586105
CDH17	ENSG00000079112	8	95039399	95329531	784	136	PD_nalls2019	pqtls_CDH17	-0.00927346	-0.09503	0.07525	8.5997e-05	0	0.00983	0.832154
CPQ	ENSG00000104324	8	97557455	98261882	834	150	PD_nalls2019	pqtls_CPQ	-0.0763058	-0.15986	0.00696	0.00582258	0	0.02555	0.072064
MATN2	ENSG00000132561	8	98781068	99148944	994	150	PD_nalls2019	pqtls_MATN2	-0.135152	-0.22293	-0.04911	0.0182661	0.00241	0.0497	0.0026934
HRSP12	ENSG00000132541	8	99014572	99229469	574	113	PD_nalls2019	pqtls_HRSP12	-0.0333414	-0.13799	0.07471	0.00111165	0	0.01923	0.536552
RRM2B	ENSG00000048392	8	103116730	103351346	532	96	PD_nalls2019	pqtls_RRM2B	0.0770662	-0.09801	0.24995	0.00593921	0	0.06269	0.38692
ANGPT1	ENSG00000154188	8	108161721	108610283	1145	136	PD_nalls2019	pqtls_ANGPT1	-0.101719	-0.30832	0.09858	0.0103467	0	0.09541	0.314431
TNFRSF11B	ENSG00000164761	8	119835796	120064439	701	69	PD_nalls2019	pqtls_TNFRSF11B	0.0922296	-0.07956	0.26296	0.0085063	0	0.06915	0.285709
NOV	ENSG00000136999	8	120328546	120536593	570	49	PD_nalls2019	pqtls_NOV	-0.274554	-0.43922	-0.11021	0.07538	0.01215	0.19291	0.00184114
ENPP2	ENSG00000136960	8	120469326	120785693	666	89	PD_nalls2019	pqtls_ENPP2	0.257453	0.08448	0.42831	0.0662819	0.00714	0.18345	0.00471781
SNTB1	ENSG00000172164	8	121447985	121925513	1020	141	PD_nalls2019	pqtls_SNTB1	0.358529	0.16201	0.56362	0.128543	0.02625	0.31766	0.000535022
SNTB1	ENSG00000172164	8	121447985	121925513	1006	139	UC_delange2017	pqtls_SNTB1	-0.00877053	-0.38391	0.36784	7.69223e-05	0	0.18236	0.961866
WISP1	ENSG00000104415	8	134103282	134342587	675	160	LBD_chia2021	pqtls_WISP1	0.201619	-0.03429	0.45243	0.0406501	0	0.2047	0.0913888
WISP1	ENSG00000104415	8	134103282	134342587	706	168	PD_nalls2019	pqtls_WISP1	0.0881147	-0.00729	0.18187	0.0077642	0	0.03308	0.0686397
ST3GAL1	ENSG00000008513	8	134367091	134684183	1009	203	PD_nalls2019	pqtls_ST3GAL1	0.0780647	-0.0317	0.18703	0.0060941	0	0.03498	0.163524
GPT	ENSG00000167701	8	145628356	145832557	207	43	PD_nalls2019	pqtls_GPT	0.326748	0.07215	0.5831	0.106765	0.00552	0.34	0.0131786
CD274	ENSG00000120217	9	5350503	5570566	586	141	PD_nalls2019	pqtls_CD274	0.00850025	-0.07923	0.09614	7.22543e-05	0	0.01042	0.849098
CD274	ENSG00000120217	9	5350503	5570566	582	138	UC_delange2017	pqtls_CD274	-0.521147	-0.78506	-0.29382	0.271595	0.08633	0.61631	3.29152e-05
PDCD1LG2	ENSG00000197646	9	5410545	5671282	590	168	PD_nalls2019	pqtls_PDCD1LG2	-0.0571704	-0.10273	-0.01159	0.00326845	0.00014	0.01055	0.0147334
PDCD1LG2	ENSG00000197646	9	5410545	5671282	580	165	UC_delange2017	pqtls_PDCD1LG2	0.367006	0.16187	0.60169	0.134694	0.0262	0.36204	0.000806896
ADAMTSL1	ENSG00000178031	9	18373892	19010948	98	35	PD_nalls2019	pqtls_ADAMTSL1	0.0495901	-0.14008	0.24031	0.00245918	0	0.05856	0.606723
TEK	ENSG00000120156	9	27009139	27330173	1097	174	PD_nalls2019	pqtls_TEK	-0.186994	-0.29026	-0.0859	0.0349667	0.00738	0.08425	0.000387293
B4GALT1	ENSG00000086062	9	33004080	33267354	756	101	PD_nalls2019	pqtls_B4GALT1	0.112174	0.00459	0.22265	0.0125829	2e-04	0.04957	0.0468173
B4GALT1	ENSG00000086062	9	33004080	33267354	758	90	SCZ_pardinas2018	pqtls_B4GALT1	-0.368379	-0.63997	-0.12677	0.135703	0.01607	0.40956	0.00384082
PRSS3	ENSG00000010438	9	33650515	33899230	566	54	PD_nalls2019	pqtls_PRSS3	-0.276013	-0.45695	-0.09404	0.0761832	0.00884	0.20881	0.00354975
NUDT2	ENSG00000164978	9	34229504	34443709	354	52	PD_nalls2019	pqtls_NUDT2	0.0995221	0.00153	0.19643	0.00990464	0.00011	0.03858	0.0510903
CNTFR	ENSG00000122756	9	34451430	34690121	413	79	PD_nalls2019	pqtls_CNTFR	-0.00823176	-0.131	0.1151	6.77618e-05	0	0.02001	0.895421
IL11RA	ENSG00000137070	9	34550699	34761889	421	73	PD_nalls2019	pqtls_IL11RA	-0.0573101	-0.1848	0.069	0.00328445	0	0.03415	0.370834
CCL21	ENSG00000137077	9	34609002	34810121	389	68	PD_nalls2019	pqtls_CCL21	0.110132	-0.12743	0.35383	0.0121291	0	0.1252	0.363659
CD72	ENSG00000137101	9	35509530	35746807	386	93	PD_nalls2019	pqtls_CD72	0.0374781	-0.09272	0.16758	0.00140461	0	0.02844	0.575507
GLIPR2	ENSG00000122694	9	36036732	36263910	469	92	PD_nalls2019	pqtls_GLIPR2	0.027711	-0.10086	0.15533	0.0007679	0	0.02461	0.673303
GRHPR	ENSG00000137106	9	37322663	37536987	539	99	PD_nalls2019	pqtls_GRHPR	0.0363602	-0.09907	0.17063	0.00132206	0	0.02956	0.594961
TMEM2	ENSG00000135048	9	74198282	74531606	606	134	PD_nalls2019	pqtls_TMEM2	-0.000267299	-0.15087	0.14737	7.14489e-08	0	0.02831	0.997135
ANXA1	ENSG00000135046	9	75666673	75885309	469	90	PD_nalls2019	pqtls_ANXA1	0.0200621	-0.13817	0.18125	0.000402489	0	0.03529	0.803379
RFK	ENSG00000135002	9	78900433	79109433	666	102	PD_nalls2019	pqtls_RFK	-0.22681	-0.43376	-0.01809	0.0514429	0.0011	0.18814	0.03026
PSAT1	ENSG00000135069	9	80812059	81045009	558	84	PD_nalls2019	pqtls_PSAT1	-0.0160421	-0.18279	0.15	0.00025735	0	0.03716	0.850112
NTRK2	ENSG00000148053	9	87183466	87738505	1259	174	CD_delange2017	pqtls_NTRK2	-0.272887	-0.60344	0.03871	0.0744673	0	0.36414	0.0835772
NTRK2	ENSG00000148053	9	87183466	87738505	1272	175	PD_nalls2019	pqtls_NTRK2	0.0474383	-0.10324	0.20416	0.0022504	0	0.04216	0.540859
GOLM1	ENSG00000135052	9	88541061	88815088	487	103	PD_nalls2019	pqtls_GOLM1	-0.226338	-0.35997	-0.09146	0.0512291	0.00837	0.12958	0.00103075
GAS1	ENSG00000180447	9	89459279	89662104	494	90	PD_nalls2019	pqtls_GAS1	-0.0355603	-0.24831	0.17813	0.00126454	0	0.06604	0.744293
SEMA4D	ENSG00000187764	9	91875702	92213045	861	139	PD_nalls2019	pqtls_SEMA4D	0.00292217	-0.08515	0.08978	8.53908e-06	0	0.00995	0.947124
SYK	ENSG00000165025	9	93464069	93760831	933	153	PD_nalls2019	pqtls_SYK	0.0351327	-0.09807	0.16766	0.00123431	0	0.02864	0.613545
SYK	ENSG00000165025	9	93464069	93760831	928	138	MS_imsgc2019	pqtls_SYK	-0.192007	-0.51132	0.11371	0.0368668	0	0.26145	0.206008
ROR2	ENSG00000169071	9	94225373	94812444	1795	177	PD_nalls2019	pqtls_ROR2	0.13637	0.02814	0.2468	0.0185968	0.00085	0.06091	0.0157986
OGN	ENSG00000106809	9	95046249	95266978	423	41	PD_nalls2019	pqtls_OGN	0.121841	-0.16504	0.42208	0.0148452	0	0.17903	0.403293
OMD	ENSG00000127083	9	95076527	95286743	407	42	PD_nalls2019	pqtls_OMD	0.167264	-0.22334	0.54543	0.0279772	0	0.29766	0.371186
ASPN	ENSG00000106819	9	95118487	95344788	454	43	PD_nalls2019	pqtls_ASPN	-0.0919395	-0.36461	0.1905	0.00845287	0	0.13464	0.502559
FBP1	ENSG00000165140	9	97265415	97502531	694	98	PD_nalls2019	pqtls_FBP1	-0.0737349	-0.2519	0.0998	0.00543683	0	0.0635	0.412113
CTSV	ENSG00000136943	9	99694940	99901925	184	49	PD_nalls2019	pqtls_CTSV	0.19929	0.06021	0.33496	0.0397164	0.00362	0.1122	0.00458265
NANS	ENSG00000095380	9	100719021	100945357	402	110	PD_nalls2019	pqtls_NANS	-0.123862	-0.27638	0.0294	0.0153419	0	0.07639	0.10925
NANS	ENSG00000095380	9	100719021	100945357	392	94	MS_imsgc2019	pqtls_NANS	0.155581	-0.13024	0.45269	0.0242054	0	0.20493	0.274557
COL15A1	ENSG00000204291	9	101605461	101933069	769	155	PD_nalls2019	pqtls_COL15A1	0.0905888	0.00129	0.17733	0.00820632	1e-04	0.03145	0.0460856
TMEFF1	ENSG00000241697	9	103104560	103439918	696	88	PD_nalls2019	pqtls_TMEFF1	-0.119762	-0.29845	0.06357	0.014343	0	0.08907	0.190617
RAD23B	ENSG00000119318	9	109945418	110194475	774	141	PD_nalls2019	pqtls_RAD23B	0.00424706	-0.16521	0.1745	1.80376e-05	0	0.03819	0.961188
SVEP1	ENSG00000165124	9	113027531	113442160	1300	154	PD_nalls2019	pqtls_SVEP1	0.131355	0.03123	0.23004	0.0172542	0.00101	0.05292	0.0102553
PTGR1	ENSG00000106853	9	114212002	114462135	625	110	PD_nalls2019	pqtls_PTGR1	-0.0956392	-0.1898	-0.0018	0.00914686	0.00013	0.03602	0.0498387
ALAD	ENSG00000148218	9	116048597	116263613	547	107	PD_nalls2019	pqtls_ALAD	-0.0416538	-0.13291	0.05205	0.00173504	0	0.01767	0.376497
AMBP	ENSG00000106927	9	116722407	116940752	602	148	PD_nalls2019	pqtls_AMBP	-0.0971474	-0.26908	0.07808	0.00943762	0	0.07241	0.261882
TNC	ENSG00000041982	9	117682806	117980536	785	118	CD_delange2017	pqtls_TNC	0.240916	0.07061	0.41561	0.0580406	0.00499	0.17273	0.00639323
TNC	ENSG00000041982	9	117682806	117980536	794	117	PD_nalls2019	pqtls_TNC	0.0395182	-0.02795	0.10698	0.00156169	0	0.01144	0.248227
TNC	ENSG00000041982	9	117682806	117980536	785	118	UC_delange2017	pqtls_TNC	0.0267274	-0.19744	0.24668	0.000714354	0	0.06969	0.808913
C5	ENSG00000106804	9	123614616	123912554	570	82	PD_nalls2019	pqtls_C5	0.0127344	-0.12778	0.15472	0.000162165	0	0.02678	0.856047
GSN	ENSG00000148180	9	123870072	124195121	587	92	PD_nalls2019	pqtls_GSN	0.34612	0.09879	0.60601	0.119799	0.00984	0.36725	0.00791979
ENG	ENSG00000106991	9	130477291	130717035	397	113	PD_nalls2019	pqtls_ENG	0.0652793	-0.06716	0.20046	0.00426139	0	0.04019	0.337987
AK1	ENSG00000106992	9	130528759	130740022	346	101	PD_nalls2019	pqtls_AK1	0.0371517	-0.09522	0.16614	0.00138025	0	0.02813	0.577285
ST6GALNAC6	ENSG00000160408	9	130547600	130767687	396	99	PD_nalls2019	pqtls_ST6GALNAC6	-0.383676	-0.60044	-0.17414	0.147207	0.03032	0.36053	0.000460026
SH3GLB2	ENSG00000148341	9	131669315	131890582	220	52	PD_nalls2019	pqtls_SH3GLB2	0.141842	-0.07779	0.37094	0.0201192	0	0.1376	0.208715
CRAT	ENSG00000095321	9	131757089	131973468	272	54	PD_nalls2019	pqtls_CRAT	0.0915915	-0.13963	0.32333	0.00838901	0	0.10483	0.434347
AIF1L	ENSG00000126878	9	133871863	134098539	427	102	PD_nalls2019	pqtls_AIF1L	0.0447071	-0.03063	0.12451	0.00199873	0	0.0155	0.261114
CEL	ENSG00000170835	9	135837365	136047248	535	151	PD_nalls2019	pqtls_CEL	0.129597	0.01688	0.24289	0.0167954	0.00045	0.059	0.0252554
OBP2B	ENSG00000171102	9	135980664	136184630	640	117	PD_nalls2019	pqtls_OBP2B	-0.0296675	-0.12131	0.0612	0.000880163	0	0.01478	0.520449
ADAMTS13	ENSG00000160323	9	136179478	136424508	534	92	PD_nalls2019	pqtls_ADAMTS13	0.0701551	-0.02446	0.16387	0.00492173	0	0.02685	0.143112
ADAMTSL2	ENSG00000197859	9	136297286	136540641	565	147	LBD_chia2021	pqtls_ADAMTSL2	0.278255	-0.03886	0.61852	0.0774257	0	0.38256	0.0805717
ADAMTSL2	ENSG00000197859	9	136297286	136540641	599	150	PD_nalls2019	pqtls_ADAMTSL2	-0.000810372	-0.15073	0.14724	6.56702e-07	0	0.02843	0.991334
FCN2	ENSG00000160339	9	137672654	137879924	726	177	CD_delange2017	pqtls_FCN2	-0.226728	-0.45071	-0.01995	0.0514054	0.0011	0.20314	0.0326677
FCN2	ENSG00000160339	9	137672654	137879924	733	178	PD_nalls2019	pqtls_FCN2	-0.118323	-0.18235	-0.05468	0.0140002	0.00299	0.03325	0.000333511
FCN2	ENSG00000160339	9	137672654	137879924	727	177	UC_delange2017	pqtls_FCN2	-0.183911	-0.36586	-0.00433	0.0338232	0.00054	0.13385	0.0444986
FCN1	ENSG00000085265	9	137701431	137909809	684	175	CD_delange2017	pqtls_FCN1	0.29274	0.07888	0.54991	0.0856968	0.00639	0.3024	0.00834327
FCN1	ENSG00000085265	9	137701431	137909809	689	176	PD_nalls2019	pqtls_FCN1	-0.033623	-0.104	0.03468	0.0011305	0	0.01089	0.348063
FCN1	ENSG00000085265	9	137701431	137909809	685	176	UC_delange2017	pqtls_FCN1	0.330447	0.14037	0.54538	0.109195	0.0197	0.29744	0.00113141
OLFM1	ENSG00000130558	9	137867268	138113025	889	197	PD_nalls2019	pqtls_OLFM1	0.173535	0.01947	0.33039	0.0301143	0.00074	0.10916	0.0294274
LCN1	ENSG00000160349	9	138313284	138518378	628	180	PD_nalls2019	pqtls_LCN1	0.197229	0.01185	0.38776	0.0388992	0.00066	0.15036	0.0357622
QSOX2	ENSG00000165661	9	138998179	139237687	493	103	PD_nalls2019	pqtls_QSOX2	0.059537	-0.01882	0.13741	0.00354466	0	0.01888	0.138002
NOTCH1	ENSG00000148400	9	139288896	139540314	412	80	CD_delange2017	pqtls_NOTCH1	-0.00239585	-0.19652	0.18936	5.74011e-06	0	0.04846	0.980083
NOTCH1	ENSG00000148400	9	139288896	139540314	414	81	UC_delange2017	pqtls_NOTCH1	-0.0374425	-0.26326	0.19213	0.00140194	0	0.07457	0.743131
PHPT1	ENSG00000054148	9	139643176	139845488	358	60	PD_nalls2019	pqtls_PHPT1	-0.120398	-0.24313	0.00397	0.0144956	0	0.05911	0.0643524
C8G	ENSG00000176919	9	139739698	139941426	322	59	PD_nalls2019	pqtls_C8G	-0.194954	-0.36834	-0.0201	0.0380072	0.00098	0.13568	0.0303699
PTGDS	ENSG00000107317	9	139771956	139979887	345	66	PD_nalls2019	pqtls_PTGDS	-0.22766	-0.42021	-0.03302	0.0518291	0.00152	0.17658	0.0206471
NPDC1	ENSG00000107281	9	139833922	140040655	287	69	PD_nalls2019	pqtls_NPDC1	-0.0457195	-0.37193	0.2833	0.00209027	0	0.15159	0.773768
DPP7	ENSG00000176978	9	139904994	140109629	195	57	PD_nalls2019	pqtls_DPP7	0.0432284	-0.1008	0.18552	0.00186869	0	0.0348	0.552142
IDI2	ENSG00000148377	10	964847	1171799	488	93	PD_nalls2019	pqtls_IDI2	-0.073224	-0.18648	0.04229	0.00536175	0	0.03477	0.219966
IDI1	ENSG00000067064	10	985848	1195110	513	104	PD_nalls2019	pqtls_IDI1	-0.338865	-0.56243	-0.12608	0.11483	0.01589	0.31633	0.00294915
AKR1C3	ENSG00000196139	10	4977546	5249878	1005	122	PD_nalls2019	pqtls_AKR1C3	0.0161305	-0.16049	0.19571	0.000260194	0	0.04386	0.858274
AKR1C4	ENSG00000198610	10	5137425	5360912	909	80	PD_nalls2019	pqtls_AKR1C4	-0.130611	-0.2052	-0.05401	0.0170592	0.00292	0.04211	0.000571011
GDI2	ENSG00000057608	10	5707186	5984095	788	123	PD_nalls2019	pqtls_GDI2	-0.00457615	-0.08774	0.07618	2.09411e-05	0	0.0089	0.914188
GDI2	ENSG00000057608	10	5707186	5984095	759	103	MS_imsgc2019	pqtls_GDI2	0.422904	0.21251	0.66025	0.178848	0.04516	0.43593	0.00014136
IL15RA	ENSG00000134470	10	5890855	6120150	818	157	CD_delange2017	pqtls_IL15RA	-0.159509	-0.34133	0.01244	0.0254431	0	0.11651	0.0757627
IL15RA	ENSG00000134470	10	5890855	6120150	830	158	PD_nalls2019	pqtls_IL15RA	-0.166678	-0.23708	-0.09724	0.0277815	0.00945	0.05621	2.43474e-06
IL15RA	ENSG00000134470	10	5890855	6120150	810	139	MS_imsgc2019	pqtls_IL15RA	-0.0602679	-0.18116	0.06268	0.00363222	0	0.03282	0.321975
IL2RA	ENSG00000134460	10	5952652	6204288	892	178	CD_delange2017	pqtls_IL2RA	-0.155878	-0.40135	0.08161	0.0242981	0	0.16108	0.200872
IL2RA	ENSG00000134460	10	5952652	6204288	896	178	PD_nalls2019	pqtls_IL2RA	-0.0438265	-0.19757	0.11234	0.00192076	0	0.03978	0.578374
IL2RA	ENSG00000134460	10	5952652	6204288	886	163	MS_imsgc2019	pqtls_IL2RA	0.311496	0.11592	0.50947	0.0970298	0.01344	0.25956	0.00239949
RBM17	ENSG00000134453	10	6030950	6259420	759	170	CD_delange2017	pqtls_RBM17	0.00214606	-0.19279	0.1883	4.60557e-06	0	0.04897	0.982268
RBM17	ENSG00000134453	10	6030950	6259420	764	171	PD_nalls2019	pqtls_RBM17	0.0072178	-0.09609	0.11034	5.20966e-05	0	0.01452	0.89207
RBM17	ENSG00000134453	10	6030950	6259420	757	158	MS_imsgc2019	pqtls_RBM17	0.0206426	-0.13203	0.17729	0.000426119	0	0.03384	0.793295
ITIH5	ENSG00000123243	10	7501232	7808961	1044	209	CD_delange2017	pqtls_ITIH5	-0.0589815	-0.26083	0.15089	0.00347881	0	0.07046	0.569233
ITIH5	ENSG00000123243	10	7501232	7808961	1054	211	PD_nalls2019	pqtls_ITIH5	-0.041273	-0.09431	0.01186	0.00170346	0	0.0089	0.131283
ITIH5	ENSG00000123243	10	7501232	7808961	1043	209	UC_delange2017	pqtls_ITIH5	-0.0124084	-0.18627	0.16062	0.000153969	0	0.03976	0.885776
ITIH2	ENSG00000151655	10	7645232	7891483	767	138	PD_nalls2019	pqtls_ITIH2	-0.0598539	-0.1204	-0.00108	0.00358249	4e-05	0.01449	0.0489059
NUDT5	ENSG00000165609	10	12107324	12338143	528	104	PD_nalls2019	pqtls_NUDT5	0.0664127	-0.20273	0.34065	0.00441065	0	0.1182	0.626562
UCMA	ENSG00000165623	10	13163767	13376334	681	153	PD_nalls2019	pqtls_UCMA	-0.0399775	-0.15129	0.0728	0.0015982	0	0.0231	0.48986
CDNF	ENSG00000185267	10	14761249	14980574	453	114	PD_nalls2019	pqtls_CDNF	-0.172535	-0.26363	-0.08105	0.0297684	0.00657	0.0695	0.000265394
NMT2	ENSG00000152465	10	15044583	15310692	839	167	PD_nalls2019	pqtls_NMT2	-0.000809876	-0.11468	0.11352	6.55899e-07	0	0.01711	0.988892
VIM	ENSG00000026025	10	17170258	17379592	570	89	PD_nalls2019	pqtls_VIM	0.030357	-0.24741	0.3155	0.000921549	0	0.10695	0.825537
ST8SIA6	ENSG00000148488	10	17260382	17596329	1172	157	PD_nalls2019	pqtls_ST8SIA6	-0.0969539	-0.23994	0.04609	0.00940005	0	0.05757	0.181503
MRC1	ENSG00000120586	10	17998352	18300091	284	51	PD_nalls2019	pqtls_MRC1	0.0809692	-0.01584	0.17963	0.00655601	0	0.03227	0.104218
PIP4K2A	ENSG00000150867	10	22723778	23103484	809	125	PD_nalls2019	pqtls_PIP4K2A	0.238998	0.12548	0.35095	0.05712	0.01574	0.12317	7.92873e-05
NRP1	ENSG00000099250	10	33366420	33725190	1138	164	PD_nalls2019	pqtls_NRP1	-0.0647713	-0.16455	0.03452	0.00419532	0	0.02708	0.19745
RET	ENSG00000165731	10	43472475	43725799	698	77	PD_nalls2019	pqtls_RET	-0.0577397	-0.20497	0.0918	0.00333388	0	0.04214	0.448084
CXCL12	ENSG00000107562	10	44693038	44981941	974	116	PD_nalls2019	pqtls_CXCL12	0.0252343	-0.13977	0.19116	0.000636768	0	0.03873	0.764298
MSMB	ENSG00000138294	10	51449498	51662517	94	34	PD_nalls2019	pqtls_MSMB	-0.140884	-0.23765	-0.04423	0.0198483	0.00196	0.05648	0.00444507
ASAH2	ENSG00000188611	10	51842538	52108370	285	64	PD_nalls2019	pqtls_ASAH2	-0.0996865	-0.16791	-0.03241	0.0099374	0.00105	0.02819	0.00410011
DKK1	ENSG00000107984	10	53974056	54177802	390	87	PD_nalls2019	pqtls_DKK1	-0.0977424	-0.28164	0.09007	0.00955358	0	0.07932	0.294712
